# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                         MEME	9.2e-160	   6.4e-163	        -373.47	         0.0	       86	        272	         758	       1037	  0.31618	4.7e-165	       135
   1	2                         MEME	9.9e-578	   6.8e-581	       -1335.88	         0.0	       91	        281	        4117	       6447	  0.32384	4.9e-583	       140
   2	CRCRTGB                  DREME	5.6e-488	   3.9e-491	       -1129.21	         0.0	      106	        294	        8061	      14535	  0.36054	2.7e-493	       146
   2	VGGAAR                   DREME	4.8e-003	   3.3e-006	         -12.62	         0.0	      119	        295	        9441	      22404	  0.40339	2.2e-008	       147
   2	AGRKGGCR                 DREME	7.2e-345	   5.0e-348	        -799.70	         0.0	       91	        293	        3523	       6367	  0.31058	3.4e-350	       146
   2	TGRCTCAB                 DREME	7.4e-035	   5.1e-038	         -85.87	         0.0	      149	        293	        2988	       4963	  0.50853	3.5e-040	       146
   2	GGAWYTGA                 DREME	5.3e-057	   3.7e-060	        -136.86	         0.0	      117	        293	        1358	       2390	  0.39932	2.5e-062	       146
   2	CATCTRTA                 DREME	3.3e-038	   2.3e-041	         -93.57	         0.0	       61	        293	         391	        966	  0.20819	1.6e-043	       146
   2	ATGYAAAT                 DREME	1.6e-007	   1.1e-010	         -22.96	         0.0	       77	        293	         555	       1619	  0.26280	7.3e-013	       146
   2	RGTTWCA                  DREME	2.8e-024	   2.0e-027	         -61.50	         0.0	      134	        294	        3014	       5684	  0.45578	1.3e-029	       146
   2	RCCACR                   DREME	2.7e-128	   1.9e-131	        -301.00	         0.0	      103	        295	        7204	      16278	  0.34915	1.3e-133	       147
   2	TATKCAWA                 DREME	5.0e-004	   3.4e-007	         -14.89	         0.0	      143	        293	         873	       1552	  0.48805	2.3e-009	       146
   3	ARNTL_DBD            ARNTL_DBD	3.3e-037	   2.3e-040	         -91.28	         0.0	       87	        291	        1138	       2688	  0.29897	1.6e-042	       145
   3	AR_DBD                  AR_DBD	3.5e0000	   2.4e-003	          -6.02	         0.0	      162	        284	        1293	       2101	  0.57042	1.7e-005	       141
   3	ATF4_DBD              ATF4_DBD	4.5e-001	   3.1e-004	          -8.08	         0.0	       80	        288	        1470	       4772	  0.27778	2.2e-006	       143
   3	ATF7_DBD              ATF7_DBD	8.5e-008	   5.8e-011	         -23.56	         0.0	      131	        287	         918	       1688	  0.45645	4.1e-013	       143
   3	Ar_DBD                  Ar_DBD	4.2e-002	   2.9e-005	         -10.45	         0.0	      162	        284	        2073	       3379	  0.57042	2.1e-007	       141
   3	Ascl2_DBD            Ascl2_DBD	1.0e-028	   7.1e-032	         -71.72	         0.0	      119	        291	        7310	      16022	  0.40893	4.9e-034	       145
   3	Atf4_DBD              Atf4_DBD	4.2e-002	   2.9e-005	         -10.45	         0.0	       81	        287	         456	       1314	  0.28223	2.0e-007	       143
   3	Atoh1_DBD            Atoh1_DBD	2.9e-048	   2.0e-051	        -116.75	         0.0	       93	        291	        5544	      14597	  0.31959	1.4e-053	       145
   3	BATF3_DBD            BATF3_DBD	4.0e-001	   2.7e-004	          -8.20	         0.0	      131	        287	         357	        651	  0.45645	1.9e-006	       143
   3	BCL6B_DBD            BCL6B_DBD	2.0e0000	   1.4e-003	          -6.58	         0.0	      142	        284	          83	        119	  0.50000	9.8e-006	       141
   3	BHLHA15_DBD        BHLHA15_DBD	3.8e-067	   2.7e-070	        -160.21	         0.0	       91	        291	        2206	       5099	  0.31271	1.8e-072	       145
   3	BHLHB2_DBD          BHLHB2_DBD	1.6e-164	   1.1e-167	        -384.43	         0.0	       89	        291	        4334	       9878	  0.30584	7.6e-170	       145
   3	BHLHB3_full        BHLHB3_full	2.4e-133	   1.7e-136	        -312.64	         0.0	      107	        291	        4093	       8116	  0.36770	1.2e-138	       145
   3	BHLHE22_DBD        BHLHE22_DBD	7.3e-051	   5.0e-054	        -122.72	         0.0	       91	        289	        1933	       4533	  0.31488	3.5e-056	       144
   3	BHLHE23_DBD        BHLHE23_DBD	4.3e-069	   3.0e-072	        -164.70	         0.0	       91	        291	        3081	       7462	  0.31271	2.0e-074	       145
   3	BHLHE41_full      BHLHE41_full	1.9e-063	   1.3e-066	        -151.69	         0.0	       87	        291	        1613	       3706	  0.29897	9.1e-069	       145
   3	Bhlhb2_DBD_1      Bhlhb2_DBD_1	6.1e-143	   4.2e-146	        -334.73	         0.0	       99	        291	        3798	       7879	  0.34021	2.9e-148	       145
   3	Bhlhb2_DBD_2      Bhlhb2_DBD_2	2.3e-155	   1.6e-158	        -363.36	         0.0	       97	        291	        3979	       8354	  0.33333	1.1e-160	       145
   3	CLOCK_DBD            CLOCK_DBD	3.6e-380	   2.5e-383	        -880.98	         0.0	       97	        291	        7857	      15869	  0.33333	1.7e-385	       145
   3	CREB3L1_DBD_1    CREB3L1_DBD_1	3.0e-028	   2.1e-031	         -70.64	         0.0	       85	        287	        1661	       4355	  0.29617	1.5e-033	       143
   3	CREB3L1_DBD_2    CREB3L1_DBD_2	2.1e-176	   1.5e-179	        -411.78	         0.0	       95	        289	        3079	       6064	  0.32872	1.0e-181	       144
   3	CREB3L1_DBD_3    CREB3L1_DBD_3	9.9e-167	   6.8e-170	        -389.52	         0.0	       95	        289	        2762	       5375	  0.32872	4.7e-172	       144
   3	CREB3L1_DBD_4    CREB3L1_DBD_4	7.5e-015	   5.2e-018	         -39.80	         0.0	       81	        287	         956	       2620	  0.28223	3.6e-020	       143
   3	CREB3L1_full_1  CREB3L1_full_1	4.4e-107	   3.0e-110	        -252.17	         0.0	       89	        289	        1834	       3795	  0.30796	2.1e-112	       144
   3	CREB3L1_full_2  CREB3L1_full_2	3.1e-004	   2.1e-007	         -15.36	         0.0	      149	        287	         688	       1133	  0.51916	1.5e-009	       143
   3	CREB3_full_1      CREB3_full_1	4.4e-008	   3.0e-011	         -24.22	         0.0	      129	        287	        1072	       2021	  0.44948	2.1e-013	       143
